<article n="1">
Charakters	NN	Charakter
,	$,	,
seiner	PPOSAT	sein
Naturverbundenheit	NN	Naturverbundenheit
,	$,	,
seines	PPOSAT	sein
Wissens	NN	Wissen
und	KON	und
Könnens	NN	Können
,	$,	,
seiner	PPOSAT	sein
unfehlbaren	ADJA	unfehlbar
Sicherheit	NN	Sicherheit
,	$,	,
seines	PPOSAT	sein
einwandfreien	ADJA	einwandfrei
Betragens	NN	Betragen
.	$.	.
<s lang="de" n="1-68">
Glücklicherweise	ADV	glücklicherweise
wiegt	VVFIN	auf+wiegen
das	ART	d
Lob	NN	Lob
den	ART	d
Tadel	NN	Tadel
hundertmal	ADV	hundertmal
auf	PTKVZ	auf
.	$.	.
<s lang="de" n="1-69">
Klucker	NE	Klucker
hatte	VAFIN	haben
eine	ART	ein
freie	ADJA	frei
männliche	ADJA	männlich
Art	NN	Art
,	$,	,
die	PRELS	d
ihm	PPER	er
rasch	ADJD	rasch
die	ART	d
Herzen	NN	Herz
gewann	VVFIN	gewinnen
.	$.	.
<s lang="de" n="1-70">
Gelegentlich	ADJA	gelegentlich
war	VAFIN	sein
er	PPER	er
auch	ADV	auch
kantig	ADJD	kantig
und	KON	und
recht	ADJD	recht
deutlich	ADJD	deutlich
,	$,	,
sogar	ADV	sogar
eigensinnig	ADJD	eigensinnig
und	KON	und
mit	APPR	mit
den	ART	d
Jahren	NN	Jahr
bisweilen	ADV	bisweilen
empfindlich	ADJD	empfindlich
,	$,	,
aber	KON	aber
auch	ADV	auch
versöhnlich	ADJD	versöhnlich
.	$.	.
<s lang="de" n="1-71">
Vielleicht	ADV	vielleicht
hat	VAFIN	haben
es	PPER	es
nie	ADV	nie
einen	ART	ein
Bergführer	NN	Bergführer
gegeben	VVPP	geben
,	$,	,
der	PRELS	d
so	ADV	so
viele	PIAT	viel
Freunde	NN	Freund
unter	APPR	unter
seinen	PPOSAT	sein
Herren	NN	Herr
zählte	VVFIN	zählen
wie	KOKOM	wie
Christian	NE	Christian
Klucker	NE	Klucker
.	$.	.
<s lang="de" n="1-72">
Er	PPER	er
wusste	VVFIN	wissen
das	PDS	d
auch	ADV	auch
,	$,	,
es	PPER	es
tat	VVFIN	tun
ihm	PPER	er
im	APPRART	im
zunehmenden	ADJA	zunehmend
Alter	NN	Alter
gar	ADV	gar
wohl	ADV	wohl
und	KON	und
milderte	VVFIN	mildern
seine	PPOSAT	sein
häusliche	ADJA	häuslich
Unbill	NN	Unbill
wesentlich	ADJD	wesentlich
.	$.	.
<s lang="de" n="1-73">
Ein	ART	eine
Gang	NN	Gang
durch	APPR	durch
seine	PPOSAT	sein
hinterlassenen	ADJA	hinterlassen
Briefe	NN	Brief
zeigt	VVFIN	zeigen
deutlich	ADJD	deutlich
,	$,	,
dass	KOUS	dass
die	ART	d
freundschaftlichen	ADJA	freundschaftlich
Zuneigungen	NN	Zuneigung
zu	APPR	zu
Klucker	NE	Klucker
nicht	PTKNEG	nicht
nur	ADV	nur
einer	ART	ein
spontanen	ADJA	spontan
Regung	NN	Regung
entsprangen	VVFIN	entspringen
und	KON	und
dann	ADV	dann
langsam	ADJD	langsam
wieder	ADV	wieder
entschwanden	VVFIN	entschwinden
.	$.	.
<s lang="de" n="1-74">
Der	ART	d
Engländer	NN	Engländer
Farrar	NN	unk
bewahrte	VVFIN	bewahren
ihm	PPER	er
seine	PPOSAT	sein
Freundschaft	NN	Freundschaft
von	APPR	von
1893	CARD	@card@
an	APZR	an
unentwegt	ADJD	unentwegt
,	$,	,
trotzdem	KOUS	trotzdem
er	PPER	er
erst	ADV	erst
1925	CARD	@card@
wieder	ADV	wieder
mit	APPR	mit
ihm	PPER	er
ging	VVFIN	gehen
.	$.	.
<s lang="de" n="1-75">
Und	KON	und
wenn	KOUS	wenn
Farrar	NN	unk
,	$,	,
der	PRELS	d
über	APPR	über
ein	ART	ein
ungewöhnliches	ADJA	ungewöhnlich
historisches	ADJA	historisch
Wissen	NN	Wissen
in	APPR	in
alpinturistischen	ADJA	alpinturistisch
Angelegenheiten	NN	Angelegenheit
verfügte	VVFIN	verfügen
,	$,	,
Zuverlässiges	NN	Zuverlässige
über	APPR	über
Berge	NN	Berg
wie	KOKOM	wie
Meije	NE	unk
,	$,	,
Montblanc	NE	Montblanc
,	$,	,
Grépon	NN	unk
,	$,	,
Badile	NN	unk
,	$,	,
Fünffingerspitze	NN	Fünffingerspitze
usw.	ADV	und_so_weiter
vernehmen	VVINF	vernehmen
wollte	VMFIN	wollen
,	$,	,
dann	ADV	dann
wandte	VVFIN	wenden
er	PPER	er
sich	PRF	er|es|sie
an	APPR	an
Klucker	NE	Klucker
.	$.	.
<s lang="de" n="1-76">
Wie	KOKOM	wie
jeder	PIAT	jed
Führer	NN	Führer
im	NE	im
Werden	VAFIN	werden
,	$,	,
so	ADV	so
war	VAFIN	sein
auch	ADV	auch
Klucker	NE	Klucker
anfänglich	ADJD	anfänglich
froh	ADJD	froh
,	$,	,
überhaupt	ADV	überhaupt
führen	VVINF	führen
zu	PTKZU	zu
können	VMINF	können
.	$.	.
<s lang="de" n="1-77">
Die	ART	d
Qualität	NN	Qualität
der	ART	d
Herren	NN	Herr
spielte	VVFIN	spielen
noch	ADV	noch
keine	PIAT	kein
Rolle	NN	Rolle
.	$.	.
<s lang="de" n="1-78">
Gerade	ADV	gerade
darin	PAV	darin
lag	VVFIN	liegen
für	ADV	für
ihn	PPER	er
eine	ART	ein
Gefahr	NN	Gefahr
,	$,	,
wie	PWAV	wie
für	ADV	für
jeden	PIAT	jed
Führer	NN	Führer
jener	PDAT	jen
und	KON	und
auch	ADV	auch
der	ART	d
heutigen	ADJA	heutig
Zeit	NN	Zeit
.	$.	.
<s lang="de" n="1-79">
Denn	KON	denn
:	$.	:
<s lang="de" n="1-80">
hat	VAFIN	haben
so	ADV	so
ein	ART	ein
junger	ADJA	jung
Führer	NN	Führer
das	ART	d
Glück	NN	Glück
,	$,	,
einen	ART	ein
unternehmenden	ADJA	unternehmend
und	KON	und
ungewöhnlich	ADJD	ungewöhnlich
tüchtigen	ADJA	tüchtig
Herrn	NN	Herr
zu	PTKZU	zu
bekommen	VVINF	bekommen
und	KON	und
also	ADV	also
ausserordentliche	ADJA	ausserordentlich
Ziele	NN	Ziel
zu	PTKZU	zu
erreichen	VVINF	erreichen
,	$,	,
und	KON	und
gibt	VVFIN	geben
dieser	PDAT	dies
Herr	NN	Herr
in	APPR	in
seinen	PPOSAT	sein
gedruckten	ADJA	gedruckt
Berichten	NN	Bericht
den	ART	d
Namen	NN	Name
des	ART	d
Führers	NN	Führer
bekannt	VVPP	bekennen
,	$,	,
dann	ADV	dann
ist	VAFIN	sein
die	ART	d
Reklame	NN	Reklame
für	ADV	für
den	ART	d
Führer	NN	Führer
gemacht	VVPP	machen
.	$.	.
<s lang="de" n="1-81">
Für	APPR	für
Klucker	NE	Klucker
hiess	VVFIN	heissen
dieser	PDAT	dies
Herr	NN	Herr
:	$.	:
<s lang="de" n="1-82">
Theodor	NE	Theodor
Curtius	NE	Curtius
,	$,	,
Professor	NN	Professor
der	ART	d
Chemie	NN	Chemie
an	APPR	an
der	ART	d
Universität	NN	Universität
München	NE	München
und	KON	und
später	ADJA	spät
Heidelberg	NE	Heidelberg
1	CARD	@card@
)	$(	)
.	$.	.
<s lang="de" n="1-83">
Er	PPER	er
merkte	VVFIN	merken
<s lang="de" n="1-474">
*	XY	*
)	$(	)
Man	PIS	man
lese	VVFIN	lesen
in	APPR	in
Kluckers	NE	Kluckers
Erinnerungen	NN	Erinnerung
den	ART	d
Abschnitt	NN	Abschnitt
«	$(	«
Bergfahrten	NN	Bergfahrt
mit	APPR	mit
Theodor	NE	Theodor
Curtius	NE	Curtius
»	$(	»
,	$,	,
S.	NN	S.
43-74	CARD	@card@
.	$.	.
das	PDS	d
bald	ADV	bald
.	$.	.
<s lang="de" n="1-84">
Und	KON	und
da	KOUS	da
sich	PRF	er|es|sie
die	ART	d
zwei	CARD	zwei
rasch	ADJD	rasch
verstanden	VVPP	verstehen
als	KON	als
Bergsteiger	NN	Bergsteiger
wie	KON	wie
als	KOKOM	als
Menschen	NN	Mensch
,	$,	,
so	ADV	so
entwickelte	VVFIN	entwickeln
sich	PRF	er|es|sie
eine	PIS	ein
der	ART	d
schönsten	ADJA	schön
alpinen	ADJA	alpin
Freundschaften	NN	Freundschaft
zwischen	APPR	zwischen
Herr	NN	Herr
und	KON	und
Führer	NN	Führer
,	$,	,
eine	ART	ein
Freundschaft	NN	Freundschaft
,	$,	,
die	PRELS	d
von	APPR	von
1883	CARD	@card@
bis	KON	bis
zum	APPRART	zum
Tode	NN	Tod
dauerte	VVFIN	dauern
.	$.	.
<s lang="de" n="1-85">
Dutzende	NN	Dutzend
von	APPR	von
Briefen	NN	Brief
bezeugen	VVFIN	bezeugen
sie	PPER	sie
.	$.	.
<s lang="de" n="1-86">
Welch	PIAT	welch
starken	ADJA	stark
Eindruck	NN	Eindruck
Curtius	NE	Curtius
von	NE	von
Klucker	NE	Klucker
gleich	ADJD	gleich
beim	APPRART	beim
ersten	ADJA	erst
Feldzug	NN	Feldzug
im	APPRART	im
Sommer	NN	Sommer
1887	CARD	@card@
bekommen	VVPP	bekommen
hat	VAFIN	haben
,	$,	,
zeigt	VVFIN	zeigen
sein	PPOSAT	sein
Eintrag	NN	Eintrag
in	APPR	in
Kluckers	NE	Kluckers
Führerbuch	NN	Führerbuch
:	$.	:
<s lang="de" n="1-87">
«	$(	«
Die	ART	d
Art	NN	Art
,	$,	,
wie	KOUS	wie
er	PPER	er
den	ART	d
Zugang	NN	Zugang
zu	APPR	zu
den	ART	d
Spitzen	NN	Spitze
der	ART	d
Cima	NE	unk
del	NE	del
Largo	NN	Largo
ermittelte	VVFIN	ermitteln
,	$,	,
war	VAFIN	sein
ebenso	ADV	ebenso
ein	ART	ein
Meisterstück	NN	Meisterstück
der	ART	d
Klettertechnik	NN	Klettertechnik
im	APPRART	im
Fels	NN	Fels
,	$,	,
wie	PWAV	wie
das	ART	d
Hinabhauen	NN	unk
durch	APPR	durch
den	ART	d
ausserordentlich	ADJD	ausserordentlich
zerklüfteten	ADJA	zerklüftet
Bondascagletscher	NE	Bondascagletscher
ohne	APPR	ohne
die	ART	d
Unterstützung	NN	Unterstützung
eines	ART	ein
zweiten	ADJA	zweit
Führers	NN	Führer
eine	ART	ein
eminente	ADJA	eminent
Leistung	NN	Leistung
auf	APPR	auf
dem	ART	d
Gebiete	NN	Gebiet
der	ART	d
Eistechnik	NN	Eistechnik
bildete	VVFIN	bilden
.	$.	.
<s lang="de" n="1-88">
Obwohl	KOUS	obwohl
Klucker	NE	Klucker
die	ART	d
Ostwand	NN	Ostwand
des	ART	d
Monte	NE	Monte
Rosa	NE	Rosa
ebensowenig	ADV	ebensowenig
kannte	VVFIN	kennen
wie	KON	wie
ich	PPER	ich
,	$,	,
stellte	VVFIN	stellen
er	PPER	er
nach	APPR	nach
kurzer	ADJA	kurz
Betrachtung	NN	Betrachtung
die	ART	d
Diagnose	NN	Diagnose
-	$(	-
und	KON	und
zwar	ADV	zwar
entgegen	APPR	entgegen
der	ART	d
Ansicht	NN	Ansicht
einheimischer	ADJA	einheimisch
Führer	NN	Führer
-	$(	-
,	$,	,
dass	KOUS	dass
eine	ART	ein
Ersteigung	NN	Ersteigung
des	ART	d
Jägerhorns	NE	Jägerhorn
über	APPR	über
die	ART	d
fast	ADV	fast
2000	CARD	@card@
m	NN	Meter
hohe	ADJA	hoch
Felswand	NN	Felswand
ohne	APPR	ohne
Schwierigkeit	NN	Schwierigkeit
und	KON	und
Gefahr	NN	Gefahr
möglich	ADJD	möglich
sei	VAFIN	sein
.	$.	.
<s lang="de" n="1-89">
Und	KON	und
in	APPR	in
der	ART	d
Tat	NN	Tat
trafen	VVFIN	treffen
wir	PPER	wir
bei	APPR	bei
dieser	PDAT	dies
grossartigen	ADJA	grossartig
Besteigung	NN	Besteigung
am	APPRART	am
nächsten	ADJA	nah
Tage	NN	Tag
keine	PIAT	kein
einzige	ADJA	einzig
wirklich	ADJD	wirklich
schwierige	ADJA	schwierig
Stelle	NN	Stelle
.	$.	.
<s lang="de" n="1-90">
Die	ART	d
Energie	NN	Energie
und	KON	und
Findigkeit	NN	Findigkeit
,	$,	,
mit	APPR	mit
welcher	PRELS	welch
er	PPER	er
durch	APPR	durch
metertiefen	ADJA	metertief
frischen	ADJA	frisch
Schnee	NN	Schnee
den	ART	d
Abstieg	NN	Abstieg
vom	NE	vom
Jägerhorn	NE	Jägerhorn
über	APPR	über
den	ART	d
Gornerfirn	NN	unk
zum	APPRART	zum
Riffelhaus	NN	Riffelhaus
durchführte	VVFIN	durchführen
,	$,	,
bildete	VVFIN	bilden
ein	ART	ein
bewundernswertes	ADJA	bewundernswert
Gegenstück	NN	Gegenstück
zu	APPR	zu
der	ART	d
Erklimmung	NN	Erklimmung
der	ART	d
Felswand	NN	Felswand
beim	APPRART	beim
Aufstieg	NN	Aufstieg
.	$.	.
<s lang="de" n="1-91">
Dass	KOUS	dass
Klucker	NE	Klucker
nach	ADV	nach
solchen	PIAT	solch
Leistungen	NN	Leistung
auf	APPR	auf
dem	ART	d
Matterhorn	NE	Matterhorn
und	KON	und
Zinalrothorn	NE	Zinalrothorn
von	NE	von
vorneherein	ADV	vorneherein
wie	KOKOM	wie
zu	ADV	zu
Hause	NN	Haus
war	VAFIN	sein
,	$,	,
obwohl	KOUS	obwohl
er	PPER	er
diese	PDAT	dies
Gegenden	NN	Gegend
nie	ADV	nie
gesehen	VVPP	sehen
hatte	VAFIN	haben
,	$,	,
ist	VAFIN	sein
selbstverständlich	ADJD	selbstverständlich
.	$.	.
»	$(	»
<s lang="de" n="1-92">
«	$(	«
Unermüdlich	ADJA	unermüdlich
,	$,	,
sich	PRF	er|es|sie
überall	ADV	überall
zurechtfindend	ADJA	zurechtfindend
,	$,	,
schneidig	ADJD	schneidig
und	KON	und
furchtlos	ADJD	furchtlos
in	APPR	in
der	ART	d
Hochregion	NN	Hochregion
,	$,	,
gemütlich	ADJD	gemütlich
im	APPRART	im
Quartier	NN	Quartier
,	$,	,
ein	ART	ein
eminenter	ADJA	eminent
Kletterer	NN	Kletterer
,	$,	,
ein	ART	ein
Mann	NN	Mann
von	APPR	von
tüchtigen	ADJA	tüchtig
Kenntnissen	NN	Kenntnis
,	$,	,
gewandt	ADJD	gewandt
mit	APPR	mit
dem	ART	d
Pickel	NN	Pickel
wie	KON	wie
mit	APPR	mit
der	ART	d
Feder	NN	Feder
,	$,	,
ein	ART	ein
angenehmer	ADJA	angenehm
,	$,	,
überall	ADV	überall
gern	ADV	gern
gesehener	ADJA	gesehener
Reisegesellschafter	NN	Reisegesellschafter
,	$,	,
ebenso	ADV	ebenso
brauchbar	ADJD	brauchbar
in	APPR	in
der	ART	d
Stadt	NN	Stadt
wie	KON	wie
in	APPR	in
der	ART	d
Hütte	NN	Hütte
oder	KON	oder
im	APPRART	im
Biwak	NN	Biwak
,	$,	,
stets	ADV	stets
unverdrossen	ADJD	unverdrossen
,	$,	,
fröhlich	ADJD	fröhlich
,	$,	,
treu	ADJD	treu
und	KON	und
von	APPR	von
aufopfernder	ADJA	aufopfernder
Anhänglichkeit	NN	Anhänglichkeit
und	KON	und
-	$(	-
was	PWS	was
das	ART	d
beste	ADJA	gut
ist	VAFIN	sein
-	$(	-
ein	ART	ein
Mann	NN	Mann
,	$,	,
dem	PRELS	d
die	ART	d
Liebe	NN	Liebe
zu	APPR	zu
seinem	PPOSAT	sein
heimatlichen	ADJA	heimatlich
Hochgebirge	NN	Hochgebirge
über	APPR	über
alles	PIS	alle
geht	VVFIN	gehen
:	$.	:
<s lang="de" n="1-93">
gilt	VVFIN	gelten
mir	PPER	ich
Christian	NE	Christian
Klucker	NE	Klucker
als	KON	als
das	ART	d
Musterbild	NN	Musterbild
eines	ART	ein
Bergführers	NN	Bergführer
ersten	ADJA	erst
Ranges	NN	Rang
.	$.	.
»	$(	»
<s lang="de" n="1-94">
Es	PPER	es
besteht	VVFIN	bestehen
kaum	ADV	kaum
ein	ART	ein
Zweifel	NN	Zweifel
,	$,	,
dass	KOUS	dass
Curtius	NE	Curtius
sich	PRF	er|es|sie
aus	APPR	aus
Liebe	NN	Liebe
zu	APPR	zu
Klucker	NE	Klucker
in	NE	in
Sils	NE	Sils
Maria	NE	Maria
das	ART	d
Haus	NN	Haus
Mulin	NN	Muli
vegl	ADJD	unk
gekauft	VVPP	kaufen
und	KON	und
ausgebaut	VVPP	ausbauen
hat	VAFIN	haben
,	$,	,
und	KON	und
ebenso	ADV	ebenso
wahrscheinlich	ADJD	wahrscheinlich
ist	VAFIN	sein
es	PPER	es
,	$,	,
dass	KOUS	dass
Curtius	NE	Curtius
unter	APPR	unter
dem	ART	d
Einfluss	NN	Einfluss
Kluckers	NE	Kluckers
die	ART	d
erste	ADJA	erst
Hütte	NN	Hütte
in	APPR	in
den	ART	d
Bergelleralpen	NN	unk
errichten	VVINF	errichten
liess	VVFIN	lassen
-	$(	-
die	ART	d
Fornohütte	NE	Fornohütte
-	$(	-
und	KON	und
Klucker	NE	Klucker
zu	APPR	zu
ihrem	PPOSAT	ihr
Verwalter	NN	Verwalter
bestellte	VVFIN	bestellen
.	$.	.
<s lang="de" n="1-95">
Durch	APPR	durch
die	ART	d
Vermittlung	NN	Vermittlung
Kluckers	NE	Kluckers
schenkte	VVFIN	schenken
Curtius	NE	Curtius
1920	CARD	@card@
seine	PPOSAT	sein
Hütte	NN	Hütte
dem	ART	d
S.A.C.	NE	Schweizer_Alpenclub
Sie	PPER	Sie|sie
wurde	VAFIN	werden
der	ART	d
Sektion	NN	Sektion
Rorschach	NE	Rorschach
übergeben	VVINF	übergeben
.	$.	.
<s lang="de" n="1-96">
Und	KON	und
als	KOKOM	als
am	APPRART	am
6.	ADJA	@ord@
September	NN	September
1924	CARD	@card@
die	ART	d
Einweihung	NN	Einweihung
der	ART	d
umgebauten	ADJA	umgebaut
Hütte	NN	Hütte
stattfand	VVFIN	stattfinden
,	$,	,
sah	VVFIN	sehen
man	PIS	man
«	$(	«
Herr	NN	Herr
und	KON	und
Führer	NN	Führer
»	$(	»
zum	APPRART	zum
letztenmal	NN	unk
beieinander	PTKVZ	beieinander
,	$,	,
und	KON	und
wahrlich	ADV	wahrlich
,	$,	,
man	PIS	man
wusste	VVFIN	wissen
nicht	PTKNEG	nicht
,	$,	,
wer	PWS	wer
Herr	NN	Herr
und	KON	und
wer	PWS	wer
Führer	NN	Führer
war	VAFIN	sein
*	XY	*
)	$(	)
.	$.	.
<s lang="de" n="1-97">
Die	ART	d
Bildung	NN	Bildung
Kluckers	NE	Kluckers
fiel	VVFIN	auf+fallen
von	APPR	von
Anfang	NN	Anfang
an	APPR	an
seinen	PPOSAT	sein
Begleitern	NN	Begleiter
auf	PTKVZ	auf
.	$.	.
<s lang="de" n="1-98">
Sehr	ADV	sehr
deutlich	ADJD	deutlich
spricht	VVFIN	aus+sprechen
sich	PRF	er|es|sie
hierüber	PAV	hierüber
der	ART	d
ausgezeichnete	ADJA	ausgezeichnet
englische	ADJA	englisch
Bergsteiger	NN	Bergsteiger
-	$(	-
schwedischer	ADJA	schwedisch
Herkunft	NN	Herkunft
-	$(	-
Ludwig	NE	Ludwig
Norman-Neruda	NE	Norman-Neruda
1889	CARD	@card@
aus	PTKVZ	aus
:	$.	:
<s lang="de" n="1-99">
«	$(	«
Ich	PPER	ich
will	VMFIN	wollen
nur	ADV	nur
sagen	VVINF	sagen
,	$,	,
dass	KOUS	dass
ich	PPER	ich
ihn	PPER	er
um	APPR	um
seine	PPOSAT	sein
Kenntnis	NN	Kenntnis
der	ART	d
Alpenflora	NN	Alpenflora
beneide	VVFIN	beneiden
und	KON	und
dass	KOUS	dass
ich	PPER	ich
niemals	ADV	niemals
einen	ART	ein
Führer	NN	Führer
gefunden	VVPP	finden
,	$,	,
der	PRELS	d
auf	APPR	auf
einer	ART	ein
so	ADV	so
hohen	ADJA	hoch
Bildungsstufe	NN	Bildungsstufe
<s lang="de" n="1-475">
*	XY	*
)	$(	)
Vgl.	VVIMP	vergleiche
«	$(	«
Alpina	NE	Alpina
»	$(	»
1924	CARD	@card@
,	$,	,
Seite	NN	Seite
277-279	CARD	@card@
.	$.	.
steht	VVFIN	stehen
wie	KOKOM	wie
Christian	NE	Christian
Klucker	NE	Klucker
.	$.	.
»	$(	»
<s lang="de" n="1-100">
Auch	ADV	auch
dieser	PDAT	dies
Herr	NN	Herr
fasste	VVFIN	fassen
schon	ADV	schon
bald	ADV	bald
nach	APPR	nach
der	ART	d
ersten	ADJA	erst
Bekanntschaft	NN	Bekanntschaft
das	ART	d
grösste	ADJA	gross
Zutrauen	NN	Zutrauen
zu	APPR	zu
seinem	PPOSAT	sein
Führer	NN	Führer
.	$.	.
<s lang="de" n="1-101">
Bald	ADV	bald
nannte	VVFIN	nennen
er	PPER	er
ihn	PPER	er
öffentlich	ADJD	öffentlich
«	$(	«
mein	PPOSAT	mein
Freund	NN	Freund
»	$(	»
.	$.	.
<s lang="de" n="1-102">
Die	ART	d
zwei	CARD	zwei
gingen	VVFIN	gehen
nur	ADV	nur
an	APPR	an
schwere	ADJA	schwer
Berge	NN	Berg
und	KON	und
zumeist	ADV	zumeist
auf	APPR	auf
neuen	ADJA	neu
<s lang="de" n="1-103">
Wegen	APPR	wegen
1	CARD	@card@
)	$(	)
.	$.	.
<s lang="de" n="1-104">
Als	KOKOM	als
Norman-Neruda	NE	Norman-Neruda
in	NE	in
den	NE	den
«	$(	«
Mitteilungen	NN	Mitteilung
des	ART	d
Deutschen	ADJA	deutsch
und	KON	und
österreichischen	ADJA	österreichisch
Alpenvereins»2	NN	unk
)	$(	)
seine	PPOSAT	sein
neuen	ADJA	neu
Bergfahrten	NN	Bergfahrt
bekanntgab	VVFIN	bekanntgeben
,	$,	,
schrieb	VVFIN	schreiben
er	PPER	er
am	APPRART	am
Schlüsse	NN	Schluss
:	$.	:
<s lang="de" n="1-105">
«	$(	«
Bei	APPR	bei
allen	PIAT	alle
Türen	NN	Tür
,	$,	,
diejenigen	PDAT	diejenigen
in	NE	in
den	NE	den
Dolomiten	NE	Dolomiten
ausgenommen	VVPP	ausnehmen
,	$,	,
war	VAFIN	sein
Christian	NE	Christian
Klucker	NE	Klucker
mein	PPOSAT	mein
Führer	NN	Führer
,	$,	,
und	KON	und
nur	ADV	nur
bei	APPR	bei
der	ART	d
Besteigung	NN	Besteigung
des	ART	d
Lyskammes	NN	unk
hatte	VAFIN	haben
ich	PPER	ich
einen	ART	ein
zweiten	ADJA	zweit
,	$,	,
Josef	NE	Josef
Reinstadler	NE	Reinstadler
.	$.	.
<s lang="de" n="1-106">
Ich	PPER	ich
für	ADV	für
meine	PPOSAT	mein
Person	NN	Person
kenne	VVFIN	kennen
keinen	PIAT	kein
Führer	NN	Führer
,	$,	,
sei	VAFIN	sein
es	PPER	es
in	NE	in
Österreich	NE	Österreich
,	$,	,
der	PRELS	d
Schweiz	NE	Schweiz
oder	KON	oder
in	NE	in
Italien	NE	Italien
,	$,	,
der	PRELS	d
sich	PRF	er|es|sie
mit	APPR	mit
Klucker	NE	Klucker
messen	VVINF	messen
kann	VMFIN	können
3	CARD	@card@
)	$(	)
.	$.	.
<s lang="de" n="1-107">
Seine	PPOSAT	sein
Kenntnis	NN	Kenntnis
der	ART	d
Schneeverhältnisse	NN	Schneeverhältnis
ist	VAFIN	sein
so	ADV	so
gross	ADJD	gross
wie	KOKOM	wie
seine	PPOSAT	sein
Felskletterei	NN	Felskletterei
bewunderungswürdig	ADJD	bewunderungswürdig
.	$.	.
»	$(	»
<s lang="de" n="1-108">
Dreimal	NN	Dreimal
ging	VVFIN	gehen
Klucker	NE	Klucker
mit	APPR	mit
John	NE	John
Percy	NE	Percy
Farrar	NE	Farrar
,	$,	,
demjenigen	PDAT	derjenige
Engländer	NN	Engländer
,	$,	,
der	PRELS	d
als	KOKOM	als
Bergsteiger	NN	Bergsteiger
wie	KON	wie
als	KOKOM	als
Mensch	NN	Mensch
eine	ART	ein
Zierde	NN	Zierde
des	ART	d
Alpine	ADJA	alpin
Club	NN	Club
war	VAFIN	sein
und	KON	und
an	APPR	an
Kenntnis	NN	Kenntnis
der	ART	d
Geschichte	NN	Geschichte
des	ART	d
Alpinismus	NN	Alpinismus
unter	APPR	unter
seinen	PPOSAT	sein
Landsleuten	NN	Landsleute
nur	ADV	nur
von	APPR	von
W.	NE	W.
A.	NE	A.
B.	NE	B.
Coolidge	NE	Coolidge
übertroffen	VVPP	übertreffen
wurde	VAFIN	werden
.	$.	.
<s lang="de" n="1-109">
Im	APPRART	im
Sommer	NN	Sommer
1893	CARD	@card@
erkletterten	VVFIN	erklettern
sie	PPER	sie
die	ART	d
südliche	ADJA	südlich
Aiguille	NE	Aiguille
d'	NE	d'
Arves	NE	Arve
,	$,	,
überschritten	VVFIN	überschreiten
die	ART	d
Meije	NE	unk
von	NE	von
La	NE	La
Grave	NE	unk
nach	APPR	nach
La	NE	La
Bérarde	NN	unk
in	APPR	in
einem	ART	ein
Tage	NN	Tag
,	$,	,
den	PRELS	d
Col	NE	Col
de	NE	de
la	NE	la
Temple	NE	Temple
,	$,	,
bezwangen	VVFIN	bezwingen
den	NE	den
Montblanc	NE	Montblanc
über	APPR	über
die	ART	d
Brenvaflanke	NN	unk
-	$(	-
mit	APPR	mit
der	ART	d
Variante	NN	Variante
Klucker	NE	Klucker
westlich	APPR	westlich
vom	NE	vom
Col	NE	Col
Moore	NE	Moore
bis	KON	bis
zu	APPR	zu
dem	ART	d
berühmten	ADJA	berühmt
Eisgrätchen	NN	Eisgrätchen
4	CARD	@card@
)	$(	)
hinauf	PTKVZ	hinauf
-	$(	-
,	$,	,
überkletterten	VVFIN	überklettern
den	ART	d
Grépon	NN	unk
und	KON	und
den	ART	d
Grand	NE	Grand
Dru	NE	unk
.	$.	.
<s lang="de" n="1-110">
In	APPR	in
der	ART	d
Zeit	NN	Zeit
vom	APPRART	vom
9.	ADJA	@ord@
Juli	NN	Juli
bis	KON	bis
12.	ADJA	@ord@
August	NN	August
1894	CARD	@card@
gelangen	VVFIN	gelangen|gelingen
den	ART	d
zwei	CARD	zwei
zu	APPR	zu
Freunden	NN	Freund
gewordenen	ADJA	worden
Männern	NN	Mann
folgende	ADJA	folgend
Bergfahrten	NN	Bergfahrt
:	$.	:
<s lang="de" n="1-111">
Gross	NE	Gross
Seehorn	NE	Seehorn
und	KON	und
Übergang	NN	Übergang
auf	APPR	auf
den	NE	den
Gross	NE	Gross
Litzner	NE	Litzner
,	$,	,
Verstanklator	NN	unk
,	$,	,
Monte	NE	Monte
della	NE	della
Disgrazia	NE	Disgrazia
über	APPR	über
Monte	NE	Monte
Sissone	NE	Sissone
und	KON	und
zurück	ADV	zurück
über	APPR	über
den	NE	den
Murettopass	NE	Murettopass
,	$,	,
Fuorcla	NE	unk
Fex-Scerscen	NE	unk
,	$,	,
Überschreitung	NN	Überschreitung
des	ART	d
Piz	NE	Piz
Roseg	NE	Roseg
vom	NE	vom
Scerscengletscher	NE	Scerscengletscher
via	APPR	via
Güssfeldtsattel	NN	unk
zum	APPRART	zum
Sellagletscher	NE	Sellagletscher
,	$,	,
Crast	NE	unk
'	$(	'
Aguzza	NE	unk
vom	NE	vom
Scerscengletscher	NE	Scerscengletscher
über	APPR	über
die	ART	d
Westflanke	NN	Westflanke
(	$(	(
neu	ADJD	neu
)	$(	)
,	$,	,
Piz	NE	Piz
Bernina	NE	Bernina
über	APPR	über
den	NE	den
Biancograt	NE	Biancograt
und	KON	und
Abstieg	NN	Abstieg
durch	APPR	durch
das	ART	d
Labyrinth	NN	Labyrinth
,	$,	,
Piz	NE	Piz
